iter	Passed	Remaining
1626	5399	1237
1627	5402	1234
1628	5404	1230
1629	5407	1227
1630	5410	1224
1631	5413	1220
1632	5417	1217
1633	5421	1214
1634	5423	1210
1635	5426	1207
1636	5430	1204
1637	5432	1200
1638	5435	1197
1639	5438	1193
1640	5440	1190
1641	5443	1186
1642	5446	1183
1643	5449	1180
1644	5452	1176
1645	5454	1173
1646	5457	1169
1647	5459	1166
1648	5462	1162
1649	5465	1159
1650	5467	1155
1651	5470	1152
1652	5473	1148
1653	5475	1145
1654	5478	1142
1655	5481	1138
1656	5483	1135
1657	5486	1131
1658	5489	1128
1659	5492	1124
1660	5494	1121
1661	5497	1117
1662	5499	1114
1663	5502	1111
1664	5505	1107
1665	5507	1104
1666	5510	1100
1667	5513	1097
1668	5515	1093
1669	5518	1090
1670	5520	1087
1671	5523	1083
1672	5526	1080
1673	5528	1076
1674	5531	1073
1675	5533	1069
1676	5536	1066
1677	5538	1062
1678	5541	1059
1679	5544	1056
1680	5547	1052
1681	5549	1049
1682	5552	1045
1683	5555	1042
1684	5558	1039
1685	5561	1035
1686	5563	1032
1687	5566	1028
1688	5569	1025
